PGC,Name,RA,Dec,DCom,T,B.T,armC,armS,armR,barL,iRing,oRing,pRing,Pert,vDust,pDust,floc,spot,inc
26338,UGC04930,139.8017,48.9675,127.3,4,0.25,0.50,0.75,1.00,0.00,0.25,0.00,0.00,0.00,0.50,0.50,0.25,0.00,0.25
26340,NGC2823,139.8225,34.0081,103.1,1,0.75,0.25,0.25,0.25,1.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
26345,NGC2825,139.8436,33.7424,115.0,-2,0.75,0.00,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,0.00,0.00,1.00
26346,NGC2826,139.8512,33.6242,92.5,-2,0.75,0.00,NA,NA,0.50,0.50,NA,NA,0.00,0.00,NA,0.00,0.00,1.00
26351,UGC04932,139.8940,51.1087,10.7,10,0.00,0.00,0.00,NA,0.00,0.00,0.00,0.00,0.75,0.25,NA,0.50,0.25,0.75
26357,UGC04946,139.8882,5.8827,143.8,3,0.50,0.25,0.00,1.00,1.00,0.50,0.00,0.00,0.25,0.25,NA,0.25,0.00,0.25
26363,UGC04934,139.9014,50.8791,117.3,3,0.50,NA,NA,NA,NA,NA,0.00,0.00,0.25,0.75,0.50,0.50,0.00,1.00
26368,UGC04940,139.9082,27.4580,111.8,1,0.50,0.25,0.75,0.00,0.50,0.25,0.50,0.00,0.25,0.50,0.50,0.25,0.00,0.50
26371,NGC2830,139.9225,33.7383,88.7,4,0.50,NA,NA,NA,NA,NA,NA,NA,0.25,0.50,0.50,0.25,0.00,1.00
26376,NGC2831,139.9395,33.7451,75.1,-3,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
26377,NGC2832,139.9454,33.7500,100.6,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
26381,UGC04929,139.9649,67.1432,88.5,6,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.75,0.25,0.50,0.00,1.00
26390,IC2461,139.9900,37.1911,34.2,4,0.50,NA,NA,NA,NA,NA,NA,NA,0.00,0.75,0.25,0.50,0.00,1.00
26398,UGC04956,140.0093,1.0383,72.3,-4,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
26403,UGC04950,140.0372,39.1627,122.4,1,0.75,0.00,NA,0.50,0.50,0.25,0.25,0.00,0.00,0.25,NA,0.25,0.00,0.50
26407,UGC04957,140.0556,8.7928,120.5,6,0.25,NA,NA,NA,NA,0.50,NA,NA,0.00,0.75,0.25,0.50,0.00,1.00
26409,UGC04955,140.0807,25.2733,93.2,8,0.00,0.00,NA,0.75,0.50,0.00,0.00,0.00,0.25,0.00,NA,0.25,0.25,0.50
26410,NGC2805,140.0858,64.1031,28.0,6,0.25,0.75,0.50,0.25,0.00,0.00,0.00,0.00,0.75,0.50,0.50,0.75,0.50,0.00
26412,UGC04953,140.1072,36.2457,33.1,8,0.00,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,0.25,0.25,1.00
26418,UGC04959,140.1340,7.0736,78.7,5,0.25,0.50,0.50,0.00,0.75,0.50,0.00,0.00,0.00,0.25,NA,0.50,0.50,0.25
26443,UGC04964,140.2360,28.8819,95.3,6,0.25,0.50,0.25,NA,0.25,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.25,0.75
26445,NGC2840,140.2201,35.3680,108.4,4,0.50,0.50,0.50,1.00,0.25,0.25,0.00,0.00,0.50,0.50,0.50,0.50,0.00,0.25
26469,NGC2814,140.2980,64.2511,26.1,9,0.00,NA,NA,NA,NA,NA,NA,NA,0.25,0.50,0.75,0.75,0.50,1.00
26471,IC0534,140.3140,3.1506,49.8,6,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.50,0.50,0.50,0.00,1.00
26485,NGC2820A,140.3764,64.2390,25.2,10,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.75,0.25,NA,0.75,0.75,0.25
26495,UGC04970,140.4401,39.5244,36.6,6,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.50,0.25,0.50,0.00,1.00
26498,NGC2820,140.4407,64.2578,25.9,6,0.25,NA,NA,NA,NA,NA,NA,NA,0.50,0.50,0.50,0.50,0.25,1.00
26501,NGC2844,140.4509,40.1513,23.3,3,0.75,0.25,0.75,NA,0.00,0.50,NA,NA,0.00,0.75,0.50,0.25,0.00,0.50
26504,UGC04972,140.4650,33.4019,102.5,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
26512,NGC2841,140.5085,50.9777,11.8,1,0.50,0.25,1.00,NA,0.50,0.25,0.00,0.00,0.00,0.75,0.50,0.25,0.00,0.50
26517,UGC04978,140.5260,3.8973,58.7,8,0.25,0.00,NA,1.00,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.25,0.25,0.00
26528,UGC04980,140.5734,4.7083,118.0,3,0.50,0.50,0.50,1.00,0.00,0.25,0.00,0.00,0.00,0.50,0.50,0.25,0.00,0.50
26538,UGC04976,140.6429,46.6574,64.0,8,0.00,0.25,0.00,0.75,0.00,0.00,0.00,0.00,0.75,0.25,NA,0.75,0.50,0.50
26540,UGC04979,140.6631,36.6876,115.0,7,0.00,0.25,0.25,1.00,0.25,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.00,0.25
26541,UGC04975,140.6406,50.1997,75.1,6,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.50,0.25,0.50,0.00,1.00
26543,UGC04973,140.6592,60.8655,113.7,4,0.25,0.50,0.75,1.00,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.25,0.00
26553,UGC04983,140.7244,29.3289,97.2,5,0.25,1.00,0.50,1.00,0.00,0.25,0.00,0.00,0.00,0.25,NA,0.25,0.25,0.00
26556,NGC2858,140.7288,3.1566,51.7,-1,0.75,0.00,NA,NA,0.50,0.25,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
26563,UGC04982,140.7634,44.5542,40.0,5,0.25,0.25,0.50,0.00,0.00,0.25,0.00,0.00,0.25,0.75,0.75,1.00,0.25,0.75
26571,NGC2852,140.8112,40.1635,27.6,-6,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
26575,UGC04988,140.8135,34.7343,24.4,8,0.25,0.00,NA,1.00,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.25,0.25
26576,UGC04996,140.8154,-0.7284,49.4,6,0.00,0.50,0.25,NA,0.25,0.00,0.00,0.00,0.50,0.25,NA,0.50,0.50,0.75
26580,NGC2853,140.8228,40.1996,27.4,4,0.25,0.25,0.25,0.00,0.00,0.75,0.00,0.00,0.00,0.50,0.50,0.25,0.00,0.50
26599,UGC04984,140.9152,54.4834,51.3,8,0.00,0.00,NA,NA,0.25,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.00,0.50
26607,NGC2861,140.9021,2.1367,71.9,3,0.50,0.50,0.50,1.00,0.50,0.25,0.00,0.00,0.25,0.50,0.50,0.50,0.25,0.00
26625,UGC04992,140.9495,42.1830,61.5,6,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.75,0.50,0.50,0.00,1.00
26631,NGC2854,141.0126,49.2039,42.1,3,0.50,0.75,0.50,0.00,0.50,0.25,0.00,0.00,0.00,0.75,0.50,0.25,0.25,0.50
26642,UGC04990,141.0266,62.0297,24.4,8,0.00,0.00,0.25,NA,0.75,0.00,0.00,0.00,0.00,0.25,NA,0.25,0.00,0.50
26643,UGC05003,141.0607,11.1106,49.6,8,0.25,0.00,0.75,0.75,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.00,0.50
26649,NGC2859,141.0777,34.5135,25.9,0,0.75,0.00,NA,0.50,0.75,0.50,0.75,0.00,0.00,0.00,NA,0.00,0.00,0.25
26663,UGC05004,141.1421,34.6593,28.0,9,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.25,0.00,0.50
26666,NGC2857,141.1574,49.3569,72.1,5,0.25,0.75,0.75,1.00,0.00,0.25,0.00,0.00,0.00,0.50,0.50,0.25,0.25,0.00
26685,NGC2860,141.2223,41.0599,62.6,1,0.50,0.25,0.50,NA,0.75,0.25,0.50,1.00,0.25,0.50,0.50,0.25,0.00,0.50
26721,UGC05017,141.3536,11.0738,45.9,6,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.75,0.25,0.50,0.00,1.00
26727,UGC05014,141.4275,34.8561,71.3,7,0.00,NA,NA,NA,NA,NA,NA,NA,0.00,0.25,NA,0.50,0.25,1.00
26733,NGC2872,141.4277,11.4325,45.7,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
26739,NGC2878,141.4480,2.0893,103.3,-1,0.75,0.25,NA,NA,0.25,0.00,0.00,0.00,0.00,0.25,NA,0.00,0.00,0.50
26740,NGC2874,141.4476,11.4251,54.3,3,0.50,0.25,0.75,0.00,0.25,0.25,0.00,0.00,0.50,1.00,0.75,0.50,0.00,0.75
26752,UGC05020,141.5064,34.6536,25.0,8,0.00,0.00,NA,NA,0.25,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.00,0.75
26759,UGC05016,141.5399,49.3101,117.3,1,0.50,0.25,0.75,1.00,0.50,0.50,0.00,0.25,0.00,0.25,NA,0.25,0.00,0.50
26762,UGC05027,141.5718,3.1347,58.9,8,0.00,NA,NA,NA,NA,NA,NA,NA,0.00,0.50,0.50,0.50,0.25,1.00
26766,UGC05013,141.5703,61.3815,170.5,4,0.50,0.25,1.00,1.00,0.00,0.25,0.25,0.00,0.25,0.25,NA,0.25,0.00,0.50
26785,UGC05026,141.6658,45.8473,64.0,-1,0.75,0.00,NA,0.50,0.00,0.50,0.00,0.00,0.25,0.50,0.50,0.25,0.00,0.75
26787,UGC05032,141.6866,1.1540,72.1,4,0.50,NA,NA,NA,0.50,0.50,0.00,0.00,0.00,0.50,0.25,0.50,0.00,1.00
26817,IC2473,141.8479,30.4409,116.3,3,0.50,0.00,0.50,1.00,1.00,1.00,0.00,0.50,0.25,0.50,0.25,0.25,0.00,0.25
26822,UGC05036,141.8709,40.8298,64.0,9,0.00,0.25,0.00,1.00,0.50,0.00,0.00,0.00,0.50,0.25,NA,0.50,0.25,0.75
26854,IC2476,141.9706,29.9858,115.2,-4,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
26856,NGC2870,141.9745,57.3753,48.9,4,0.50,0.50,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.75,0.50,0.50,0.00,0.75
26871,UGC05033,142.0483,64.9343,77.4,6,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.50,0.25,0.50,0.00,1.00
26873,UGC05045,142.0413,44.6650,111.4,3,0.50,0.50,0.50,0.00,0.75,0.25,0.00,0.00,0.25,0.50,0.50,0.50,0.25,0.00
26895,UGC05048,142.1568,38.5389,54.0,9,0.00,NA,NA,NA,0.25,NA,NA,NA,0.50,0.25,NA,0.75,0.50,1.00
26899,UGC05047,142.2077,51.5598,10.1,8,0.00,NA,NA,NA,NA,NA,NA,NA,0.00,0.25,NA,0.00,0.00,1.00
26903,UGC05049,142.2308,49.2384,41.5,5,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.75,0.25,0.50,0.00,1.00
26904,UGC05042,142.2751,66.4578,52.3,8,0.00,0.25,0.25,0.00,0.50,0.00,0.00,0.00,0.75,0.00,NA,0.75,0.50,0.25
26932,NGC2894,142.3761,7.7182,30.6,0,0.75,0.00,NA,NA,0.00,0.25,0.00,0.00,0.25,0.75,0.75,0.00,0.00,0.50
26939,NGC2880,142.3947,62.4904,26.3,-2,0.75,0.00,NA,0.50,0.25,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
26950,NGC2898,142.4431,2.0643,50.4,-2,0.75,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.00,0.00,0.50
26959,UGC05053,142.5311,60.1396,48.9,9,0.00,0.00,0.00,NA,0.00,0.00,0.00,0.00,0.50,0.00,NA,0.50,0.00,0.75
26970,UGC05055,142.5493,55.8521,110.1,3,0.50,0.25,0.50,0.00,0.75,0.00,0.25,0.00,0.25,0.25,NA,0.25,0.50,0.00
26974,NGC2900,142.5627,4.1438,76.0,6,0.25,0.50,0.25,NA,0.50,0.00,0.00,0.00,0.25,0.50,0.50,0.75,0.25,0.25
26979,NGC2893,142.5704,29.5400,25.9,0,0.75,0.00,1.00,0.25,0.75,0.50,0.25,0.50,0.25,0.50,0.50,0.25,0.25,0.25
26982,IC2486,142.5730,26.6418,195.6,4,0.50,0.50,0.50,0.00,0.25,0.25,0.00,0.00,0.25,0.50,0.50,0.50,0.00,0.25
26998,UGC05069,142.6502,6.1219,NA   ,-2,0.75,0.00,NA,0.50,0.50,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
27016,UGC05066,142.7833,46.3842,74.7,7,0.25,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.50,0.50
27029,UGC05058,142.8423,67.7816,94.2,4,0.25,0.50,0.50,0.00,0.00,0.25,0.00,0.00,0.25,0.75,0.50,0.50,0.25,0.50
27041,UGC05061,142.8929,67.6246,97.4,-1,0.75,0.00,NA,0.50,0.50,0.25,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
27047,UGC05072,142.9030,41.3172,151.8,6,0.25,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.75,0.25,0.50
27049,UGC05075,142.9237,4.4999,77.0,-2,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
27059,UGC05078,142.9405,3.7291,45.7,7,0.00,NA,NA,NA,NA,NA,NA,NA,0.50,0.50,0.50,0.50,0.25,1.00
27064,UGC05074,142.9715,29.7947,181.7,0,0.75,0.00,NA,NA,0.00,0.25,0.00,0.00,0.50,0.75,0.25,0.00,0.00,0.50
27074,NGC2906,143.0263,8.4415,30.6,3,0.50,0.25,0.50,0.00,0.00,0.25,0.00,0.00,0.50,0.75,0.75,0.75,0.25,0.50
27079,UGC05067,143.0521,68.4398,58.9,8,0.25,0.00,0.25,0.75,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.75,0.50,0.00
27091,UGC05076,143.1529,51.8722,11.1,10,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.50,0.00,NA,0.50,0.25,0.25
27108,UGC05077,143.2119,59.7444,173.1,3,0.50,0.25,0.00,0.00,0.75,0.75,0.00,0.00,0.00,0.25,NA,0.25,0.00,0.50
27111,NGC2892,143.2210,67.6172,100.8,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
27121,IC2490,143.2655,29.9281,106.1,2,0.50,0.25,0.75,1.00,0.25,0.00,0.00,0.00,0.25,0.50,0.25,0.50,0.25,0.25
27154,UGC05089,143.4246,39.9839,64.0,7,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.50,0.25,NA,0.75,0.00,0.25
27166,UGC05091,143.4610,44.2565,50.4,6,0.25,0.50,0.50,NA,0.00,0.00,0.25,0.00,0.00,0.50,0.50,0.50,0.25,0.75
27169,UGC05090,143.4672,46.8634,116.9,6,0.25,0.75,0.50,1.00,0.50,0.25,0.00,0.00,0.00,0.25,NA,0.50,0.00,0.00
27219,UGC05100,143.6608,5.8417,78.3,3,0.50,0.25,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.75,0.25,0.25,0.00,0.25
27248,UGC05107,143.7807,5.1198,28.4,8,0.00,0.00,0.25,NA,0.25,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.25,0.75
27261,UGC05105,143.8332,35.9137,24.6,8,0.25,0.00,0.25,NA,0.00,0.00,0.00,0.00,0.50,0.25,NA,0.50,0.25,0.00
27266,UGC05108,143.8600,29.8128,116.5,3,0.50,0.25,0.00,0.00,0.50,0.75,0.00,0.25,0.25,0.50,0.25,0.25,0.00,0.50
27282,NGC2918,143.9340,31.7054,98.9,-1,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.00,0.00,0.25
27331,PGC027331,144.1095,-0.5708,54.7,8,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.00,0.25
27358,UGC05111,144.2194,66.7881,100.0,3,0.50,0.25,0.75,NA,NA,0.00,NA,NA,0.00,1.00,0.50,0.50,0.00,0.75
27361,NGC2922,144.2192,37.6947,64.3,3,0.50,0.50,0.00,1.00,0.25,0.00,0.00,0.00,0.75,0.75,0.50,1.00,0.00,0.50
27362,UGC05113,144.2386,66.5486,100.4,-2,0.75,0.00,NA,NA,0.50,0.50,NA,NA,0.00,0.00,NA,0.00,0.00,1.00
27416,UGC05127,144.4390,37.0885,NA   ,8,0.25,0.00,0.50,1.00,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.25,0.50
27423,NGC2937,144.4377,2.7473,96.6,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.25,0.00,NA,0.00,0.00,0.50
27472,UGC05133,144.5980,43.5089,65.5,-2,0.75,0.00,NA,0.50,0.00,0.50,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.75
27477,UGC05138,144.6281,2.5730,99.5,3,0.50,NA,NA,NA,NA,NA,NA,NA,0.00,0.50,0.25,0.25,0.00,1.00
27504,UGC05142,144.7040,7.7738,96.3,8,0.25,0.25,NA,NA,0.25,0.00,0.00,0.00,0.25,0.00,NA,0.50,0.00,0.00
27518,NGC2948,144.7467,6.9556,70.9,3,0.50,0.50,0.25,0.00,0.75,0.00,0.00,0.00,0.25,0.75,0.50,0.75,0.25,0.25
27527,NGC2942,144.7833,34.0066,64.9,5,0.25,0.50,0.50,1.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.75,0.50,0.25
27533,NGC2944,144.8251,32.3108,98.9,6,0.25,NA,NA,NA,NA,0.50,NA,NA,0.75,0.50,0.50,0.50,0.25,1.00
27546,PGC027546,144.8597,32.3651,99.3,-2,0.75,0.00,NA,0.50,0.50,0.00,0.00,0.00,0.25,0.00,NA,0.00,0.00,0.00
27547,PGC027547,144.8518,32.3626,95.5,5,0.25,0.50,0.25,0.00,0.00,0.00,0.00,0.00,1.00,0.75,0.50,0.75,0.50,0.00
27549,UGC05147,144.8632,38.4297,85.7,7,0.25,NA,NA,NA,NA,NA,NA,NA,0.25,0.25,NA,0.50,0.00,1.00
27558,UGC05148,144.8897,11.5095,84.2,6,0.50,NA,NA,NA,NA,NA,NA,NA,0.25,0.75,0.50,0.50,0.00,1.00
27619,NGC2960,145.1519,3.5768,70.0,0,0.75,0.00,NA,0.50,0.00,0.25,0.25,0.00,0.75,0.50,0.25,0.00,0.00,0.50
27620,NGC2958,145.1740,11.8882,95.1,3,0.50,0.50,0.50,0.00,0.25,0.25,0.00,0.00,0.50,0.75,0.50,0.75,0.00,0.25
27630,UGC05164,145.2072,11.5517,95.7,6,0.50,NA,NA,NA,0.25,NA,NA,NA,0.50,0.75,0.50,0.50,0.25,1.00
27635,NGC2962,145.2250,5.1663,28.0,0,0.75,0.00,NA,0.50,0.00,0.75,0.75,0.00,0.00,0.25,NA,0.00,0.00,0.25
27662,UGC05153,145.3043,61.0612,116.1,6,0.25,0.75,0.50,0.00,0.00,0.25,0.00,0.00,0.25,0.25,NA,0.50,0.00,0.00
27665,IC0552,145.3193,10.6466,83.0,-2,0.75,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.75
27681,UGC05173,145.3845,11.4128,89.1,4,0.50,NA,NA,NA,NA,NA,NA,NA,0.00,1.00,0.00,0.50,0.00,1.00
27709,UGC05172,145.4676,48.6707,39.8,8,0.00,0.25,0.25,1.00,0.25,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.25,0.00
27716,IC0555,145.4874,12.2960,96.6,-2,0.75,0.00,NA,0.50,0.00,NA,NA,NA,0.00,0.00,NA,0.00,0.00,1.00
27723,NGC2967,145.5152,0.3361,26.5,4,0.50,0.50,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.75,1.00,0.50,0.00
27753,UGC05182,145.6042,4.2832,123.3,-1,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.25,0.50,0.25,0.00,0.00,0.00
27765,NGC2950,145.6469,58.8511,22.2,-1,0.75,0.00,1.00,0.50,0.50,0.75,0.50,0.00,0.00,0.00,NA,0.00,0.00,0.25
27777,NGC2964,145.7259,31.8468,20.5,3,0.50,0.50,0.50,1.00,0.00,0.00,0.00,0.00,0.25,1.00,0.75,1.00,0.50,0.50
27780,UGC05185,145.7299,28.9815,122.4,4,0.50,0.50,0.75,1.00,0.25,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.25,0.75
27784,PGC027784,145.7279,9.4836,45.9,10,0.00,0.25,0.00,NA,0.50,0.00,0.00,0.00,1.00,0.25,NA,0.50,0.50,0.75
27785,UGC05186,145.7462,33.2667,9.6,10,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.25,0.75
27789,UGC05184,145.7593,37.8231,95.7,3,0.50,0.25,0.50,1.00,1.00,0.00,0.25,0.25,0.00,0.50,0.50,0.25,0.00,0.50
27800,NGC2968,145.8002,31.9283,23.7,-1,0.75,0.00,NA,NA,0.75,0.00,0.00,0.00,0.50,0.75,0.75,0.25,0.00,0.25
27803,UGC05195,145.8005,0.4139,106.9,4,0.50,0.25,NA,NA,NA,0.00,0.00,0.00,0.25,0.75,0.75,0.50,0.00,0.75
27813,NGC2965,145.8299,36.2479,97.8,-3,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
27826,UGC05194,145.8812,34.0421,122.6,4,0.25,NA,NA,NA,NA,NA,0.00,0.00,0.25,0.50,0.50,0.50,0.00,1.00
27827,NGC2970,145.8794,31.9770,25.2,-2,1.00,0.00,NA,0.25,0.00,0.50,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
27830,UGC05193,145.8885,39.4149,174.5,-3,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
27843,NGC2971,145.9421,36.1793,98.5,2,0.50,0.50,0.50,1.00,0.75,0.75,0.00,0.00,0.25,0.25,NA,0.25,0.00,0.25
27859,UGC05199,145.9877,42.6724,77.7,2,0.50,0.50,0.75,1.00,0.00,0.25,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.50
27860,UGC05198,145.9897,41.6872,75.7,2,0.50,0.25,0.75,0.00,0.75,0.50,0.25,0.25,0.25,0.50,0.25,0.25,0.00,0.25
27875,UGC05205,146.0301,-0.6583,20.8,10,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.50,0.00,NA,0.50,0.50,0.25
27893,UGC05201,146.1465,55.7627,111.4,6,0.25,0.75,0.25,0.00,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.75,0.25,0.25
27925,NGC2981,146.2361,31.0976,149.2,4,0.50,0.50,0.75,1.00,0.00,0.00,0.00,0.00,0.25,0.50,0.25,0.25,0.00,0.25
27935,UGC05209,146.2675,32.2384,9.4,10,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.25,0.00,NA,0.25,0.25,0.25
27939,NGC2959,146.2846,68.5947,66.8,1,0.75,0.25,1.00,1.00,0.50,0.25,0.25,0.00,0.50,0.75,0.50,0.25,0.00,0.00
27944,UGC05207,146.3021,53.6865,162.7,2,0.50,0.50,0.25,1.00,0.50,0.25,0.00,0.00,0.00,0.50,0.25,0.25,0.00,0.50
27946,UGC05215,146.3100,9.1100,78.3,4,0.50,0.50,0.75,1.00,0.00,0.25,0.00,0.00,0.25,0.50,0.50,0.50,0.25,0.50
27958,NGC2961,146.3417,68.6086,67.7,0,0.50,0.00,NA,NA,0.25,0.00,0.00,0.00,0.00,0.25,NA,0.25,0.00,0.75
27968,UGC05218,146.3757,6.3768,44.0,7,0.00,0.75,0.25,0.25,0.50,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.25,0.50
27981,NGC2987,146.4222,4.9423,53.2,2,0.50,0.25,1.00,NA,0.00,0.25,0.00,0.00,0.00,0.75,0.50,0.50,0.00,0.50
27987,UGC05217,146.4392,33.8703,97.6,7,0.25,0.75,0.00,1.00,0.50,0.00,0.00,0.00,0.75,0.25,NA,0.50,0.50,0.50
27993,UGC05219,146.4585,28.4728,107.2,8,0.25,0.75,0.50,0.00,0.25,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.25,0.00
27997,UGC05224,146.4680,2.9779,26.9,7,0.00,0.75,0.00,0.25,0.50,0.00,0.00,0.00,0.50,0.25,NA,0.25,0.00,0.50
27998,IC0560,146.4731,-0.2685,25.9,-3,0.75,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
28009,UGC05226,146.5147,4.4034,70.9,-2,1.00,0.00,NA,0.50,0.00,0.25,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
28010,UGC05228,146.5153,1.6682,26.3,6,0.25,0.50,0.50,0.00,0.00,0.00,NA,NA,0.25,0.50,0.75,0.75,0.25,0.75
28018,UGC05210,146.6012,68.9577,66.8,6,0.25,NA,NA,NA,NA,NA,NA,NA,0.25,0.50,0.50,0.50,0.00,1.00
28026,NGC2990,146.5718,5.7084,43.8,4,0.25,0.50,0.50,0.00,0.25,0.00,0.00,0.00,0.50,0.75,0.75,1.00,0.25,0.50
28032,IC0563,146.5845,3.0453,85.3,3,0.25,0.50,0.25,1.00,0.25,0.00,0.00,0.00,0.75,0.75,0.50,0.50,0.25,0.50
28033,IC0564,146.5876,3.0714,84.9,3,0.50,0.50,0.50,0.25,0.25,0.00,0.00,0.00,0.50,0.75,0.50,0.75,0.00,0.75
28054,UGC05227,146.6449,42.1914,35.9,8,0.25,0.00,NA,NA,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.50,0.00,0.75
28099,UGC05231,146.7686,42.5210,78.1,4,0.50,0.25,0.00,0.00,1.00,0.25,0.00,0.00,0.25,0.25,NA,0.25,0.00,0.50
28101,UGC05242,146.7727,0.9633,26.1,8,0.00,0.00,NA,NA,0.25,0.00,0.00,0.00,0.50,0.00,NA,0.50,0.25,0.25
28120,NGC2976,146.8145,67.9175,3.6,9,0.00,0.00,1.00,NA,0.00,0.00,0.00,0.00,0.00,0.75,1.00,1.00,0.50,0.50
28126,UGC05237,146.8345,46.6099,69.4,6,0.25,0.50,0.50,0.25,0.50,0.00,0.00,0.00,0.25,0.25,NA,0.75,0.25,0.50
28148,UGC05249,146.9393,2.6264,26.5,7,0.25,0.50,0.25,0.25,0.75,0.00,0.00,0.00,0.25,0.50,0.25,0.50,0.50,0.75
28186,NGC3003,147.1497,33.4213,22.9,5,0.25,0.75,0.50,0.75,0.25,0.00,0.00,0.00,0.50,0.75,0.50,0.75,0.25,0.75
28196,NGC2998,147.1817,44.0807,70.6,5,0.25,0.50,0.50,1.00,0.00,0.25,0.00,0.00,0.00,0.50,0.50,0.75,0.25,0.50
28197,UGC05244,147.2004,64.1669,46.6,7,0.25,NA,NA,NA,0.00,NA,NA,NA,0.00,0.50,0.50,0.50,0.00,1.00
28225,UGC05247,147.3204,69.4224,51.9,6,0.25,0.25,NA,NA,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.75,0.25,0.50
